DATE,NASDAQCOM
2021-11-05,15971.59
2021-11-08,15982.36
2021-11-09,15886.54
2021-11-10,15622.71
2021-11-11,15704.28
2021-11-12,15860.96
2021-11-15,15853.85
2021-11-16,15973.86
2021-11-17,15921.57
2021-11-18,15993.71
2021-11-19,16057.44
2021-11-22,15854.76
2021-11-23,15775.14
2021-11-24,15845.23
2021-11-26,15491.66
2021-11-29,15782.83
2021-11-30,15537.69
2021-12-01,15254.05
2021-12-02,15381.32
2021-12-03,15085.47
2021-12-06,15225.15
2021-12-07,15686.92
2021-12-08,15786.99
2021-12-09,15517.37
2021-12-10,15630.6
2021-12-13,15413.28
2021-12-14,15237.64
2021-12-15,15565.58
2021-12-16,15180.43
2021-12-17,15169.68
2021-12-20,14980.94
2021-12-21,15341.09
2021-12-22,15521.89
2021-12-23,15653.37
2021-12-27,15871.26
2021-12-28,15781.72
2021-12-29,15766.22
2021-12-30,15741.56
2021-12-31,15644.97
2022-01-03,15832.8
2022-01-04,15622.72
2022-01-05,15100.17
2022-01-06,15080.86
2022-01-07,14935.9
2022-01-10,14942.83
2022-01-11,15153.45
2022-01-12,15188.39
2022-01-13,14806.81
2022-01-14,14893.75
2022-01-18,14506.9
2022-01-19,14340.26
2022-01-20,14154.02
2022-01-21,13768.92
2022-01-24,13855.13
2022-01-25,13539.29
2022-01-26,13542.12
2022-01-27,13352.78
2022-01-28,13770.57
2022-01-31,14239.88
2022-02-01,14346.0
2022-02-02,14417.55
2022-02-03,13878.82
2022-02-04,14098.01
2022-02-07,14015.67
2022-02-08,14194.45
2022-02-09,14490.37
2022-02-10,14185.64
2022-02-11,13791.15
2022-02-14,13790.92
2022-02-15,14139.76
2022-02-16,14124.09
2022-02-17,13716.72
2022-02-18,13548.07
2022-02-22,13381.52
2022-02-23,13037.49
2022-02-24,13473.58
2022-02-25,13694.62
2022-02-28,13751.4
2022-03-01,13532.46
2022-03-02,13752.02
2022-03-03,13537.94
2022-03-04,13313.44
2022-03-07,12830.96
2022-03-08,12795.55
2022-03-09,13255.55
2022-03-10,13129.96
2022-03-11,12843.81
2022-03-14,12581.22
2022-03-15,12948.62
2022-03-16,13436.55
2022-03-17,13614.78
2022-03-18,13893.84
2022-03-21,13838.46
2022-03-22,14108.82
2022-03-23,13922.6
2022-03-24,14191.84
2022-03-25,14169.3
2022-03-28,14354.9
2022-03-29,14619.64
2022-03-30,14442.27
2022-03-31,14220.52
2022-04-01,14261.5
2022-04-04,14532.55
2022-04-05,14204.17
2022-04-06,13888.82
2022-04-07,13897.3
2022-04-08,13711.0
2022-04-11,13411.96
2022-04-12,13371.57
2022-04-13,13643.59
2022-04-14,13351.08
2022-04-18,13332.36
2022-04-19,13619.66
2022-04-20,13453.07
2022-04-21,13174.65
2022-04-22,12839.29
2022-04-25,13004.85
2022-04-26,12490.74
2022-04-27,12488.93
2022-04-28,12871.53
2022-04-29,12334.64
2022-05-02,12536.02
2022-05-03,12563.76
2022-05-04,12964.86
2022-05-05,12317.69
2022-05-06,12144.66
2022-05-09,11623.25
2022-05-10,11737.67
2022-05-11,11364.24
2022-05-12,11370.96
2022-05-13,11805.0
2022-05-16,11662.79
2022-05-17,11984.52
2022-05-18,11418.15
2022-05-19,11388.5
2022-05-20,11354.62
2022-05-23,11535.27
2022-05-24,11264.45
2022-05-25,11434.74
2022-05-26,11740.65
2022-05-27,12131.13
2022-05-31,12081.39
2022-06-01,11994.46
2022-06-02,12316.9
2022-06-03,12012.73
2022-06-06,12061.37
2022-06-07,12175.23
2022-06-08,12086.27
2022-06-09,11754.23
2022-06-10,11340.02
2022-06-13,10809.23
2022-06-14,10828.35
2022-06-15,11099.15
2022-06-16,10646.1
2022-06-17,10798.35
2022-06-21,11069.3
2022-06-22,11053.08
2022-06-23,11232.19
2022-06-24,11607.62
2022-06-27,11524.55
2022-06-28,11181.54
2022-06-29,11177.89
2022-06-30,11028.74
2022-07-01,11127.85
2022-07-05,11322.24
2022-07-06,11361.85
2022-07-07,11621.35
2022-07-08,11635.31
2022-07-11,11372.6
2022-07-12,11264.73
2022-07-13,11247.58
2022-07-14,11251.19
2022-07-15,11452.42
2022-07-18,11360.05
2022-07-19,11713.15
2022-07-20,11897.65
2022-07-21,12059.61
2022-07-22,11834.11
2022-07-25,11782.67
2022-07-26,11562.57
2022-07-27,12032.42
2022-07-28,12162.59
2022-07-29,12390.69
2022-08-01,12368.98
2022-08-02,12348.76
2022-08-03,12668.16
2022-08-04,12720.58
2022-08-05,12657.55
2022-08-08,12644.46
2022-08-09,12493.93
2022-08-10,12854.8
2022-08-11,12779.91
2022-08-12,13047.19
2022-08-15,13128.05
2022-08-16,13102.55
2022-08-17,12938.12
2022-08-18,12965.34
2022-08-19,12705.22
2022-08-22,12381.57
2022-08-23,12381.3
2022-08-24,12431.53
2022-08-25,12639.27
2022-08-26,12141.71
2022-08-29,12017.67
2022-08-30,11883.14
2022-08-31,11816.2
2022-09-01,11785.13
2022-09-02,11630.86
2022-09-06,11544.91
2022-09-07,11791.9
2022-09-08,11862.13
2022-09-09,12112.31
2022-09-12,12266.41
2022-09-13,11633.57
2022-09-14,11719.68
2022-09-15,11552.36
2022-09-16,11448.4
2022-09-19,11535.02
2022-09-20,11425.05
2022-09-21,11220.19
2022-09-22,11066.81
2022-09-23,10867.93
2022-09-26,10802.92
2022-09-27,10829.5
2022-09-28,11051.64
2022-09-29,10737.51
2022-09-30,10575.62
2022-10-03,10815.43
2022-10-04,11176.41
2022-10-05,11148.64
2022-10-06,11073.31
2022-10-07,10652.4
2022-10-10,10542.1
2022-10-11,10426.19
2022-10-12,10417.1
2022-10-13,10649.15
2022-10-14,10321.39
2022-10-17,10675.8
2022-10-18,10772.4
2022-10-19,10680.51
2022-10-20,10614.84
2022-10-21,10859.72
2022-10-24,10952.61
2022-10-25,11199.12
2022-10-26,10970.99
2022-10-27,10792.67
2022-10-28,11102.45
2022-10-31,10988.15
2022-11-01,10890.85
2022-11-02,10524.8
2022-11-03,10342.94
2022-11-04,10475.25
2022-11-07,10564.52
2022-11-08,10616.2
2022-11-09,10353.17
2022-11-10,11114.15
2022-11-11,11323.33
2022-11-14,11196.22
2022-11-15,11358.41
2022-11-16,11183.66
2022-11-17,11144.96
2022-11-18,11146.06
2022-11-21,11024.51
2022-11-22,11174.41
2022-11-23,11285.32
2022-11-25,11226.36
2022-11-28,11049.5
2022-11-29,10983.78
2022-11-30,11468.0
2022-12-01,11482.45
2022-12-02,11461.5
2022-12-05,11239.94
2022-12-06,11014.89
2022-12-07,10958.55
2022-12-08,11082.0
2022-12-09,11004.62
2022-12-12,11143.74
2022-12-13,11256.81
2022-12-14,11170.89
2022-12-15,10810.53
2022-12-16,10705.41
2022-12-19,10546.03
2022-12-20,10547.11
2022-12-21,10709.37
2022-12-22,10476.12
2022-12-23,10497.86
2022-12-27,10353.23
2022-12-28,10213.29
2022-12-29,10478.09
2022-12-30,10466.48
2023-01-03,10386.98
2023-01-04,10458.76
2023-01-05,10305.24
2023-01-06,10569.29
2023-01-09,10635.65
2023-01-10,10742.63
2023-01-11,10931.67
2023-01-12,11001.1
2023-01-13,11079.16
2023-01-17,11095.11
2023-01-18,10957.01
2023-01-19,10852.27
2023-01-20,11140.43
2023-01-23,11364.41
2023-01-24,11334.27
2023-01-25,11313.36
2023-01-26,11512.41
2023-01-27,11621.71
2023-01-30,11393.81
2023-01-31,11584.55
2023-02-01,11816.32
2023-02-02,12200.82
2023-02-03,12006.95
2023-02-06,11887.45
2023-02-07,12113.79
2023-02-08,11910.52
2023-02-09,11789.58
2023-02-10,11718.12
2023-02-13,11891.79
2023-02-14,11960.15
2023-02-15,12070.59
2023-02-16,11855.83
2023-02-17,11787.27
2023-02-21,11492.3
2023-02-22,11507.07
2023-02-23,11590.4
2023-02-24,11394.94
2023-02-27,11466.98
2023-02-28,11455.54
2023-03-01,11379.48
2023-03-02,11462.98
2023-03-03,11689.01
2023-03-06,11675.74
2023-03-07,11530.33
2023-03-08,11576.0
2023-03-09,11338.35
2023-03-10,11138.89
2023-03-13,11188.84
2023-03-14,11428.15
2023-03-15,11434.05
2023-03-16,11717.28
2023-03-17,11630.51
2023-03-20,11675.54
2023-03-21,11860.11
2023-03-22,11669.96
2023-03-23,11787.4
2023-03-24,11823.96
2023-03-27,11768.84
2023-03-28,11716.08
2023-03-29,11926.24
2023-03-30,12013.47
2023-03-31,12221.91
2023-04-03,12189.45
2023-04-04,12126.33
2023-04-05,11996.86
2023-04-06,12087.96
2023-04-10,12084.35
2023-04-11,12031.88
2023-04-12,11929.34
2023-04-13,12166.27
2023-04-14,12123.47
2023-04-17,12157.72
2023-04-18,12153.41
2023-04-19,12157.23
2023-04-20,12059.56
2023-04-21,12072.46
2023-04-24,12037.2
2023-04-25,11799.16
2023-04-26,11854.35
2023-04-27,12142.24
2023-04-28,12226.58
2023-05-01,12212.6
2023-05-02,12080.51
2023-05-03,12025.33
2023-05-04,11966.4
2023-05-05,12235.41
2023-05-08,12256.92
2023-05-09,12179.55
2023-05-10,12306.44
2023-05-11,12328.51
2023-05-12,12284.74
2023-05-15,12365.21
2023-05-16,12343.05
2023-05-17,12500.57
2023-05-18,12688.84
2023-05-19,12657.9
2023-05-22,12720.78
2023-05-23,12560.25
2023-05-24,12484.16
2023-05-25,12698.09
2023-05-26,12975.69
2023-05-30,13017.43
2023-05-31,12935.29
2023-06-01,13100.98
2023-06-02,13240.77
2023-06-05,13229.43
2023-06-06,13276.42
2023-06-07,13104.89
2023-06-08,13238.52
2023-06-09,13259.14
2023-06-12,13461.92
2023-06-13,13573.32
2023-06-14,13626.48
2023-06-15,13782.82
2023-06-16,13689.57
2023-06-20,13667.29
2023-06-21,13502.2
2023-06-22,13630.61
2023-06-23,13492.52
2023-06-26,13335.78
2023-06-27,13555.67
2023-06-28,13591.75
2023-06-29,13591.33
2023-06-30,13787.92
2023-07-03,13816.77
2023-07-05,13791.65
2023-07-06,13679.04
2023-07-07,13660.72
2023-07-10,13685.48
2023-07-11,13760.7
2023-07-12,13918.96
2023-07-13,14138.57
2023-07-14,14113.7
2023-07-17,14244.95
2023-07-18,14353.64
2023-07-19,14358.02
2023-07-20,14063.31
2023-07-21,14032.81
2023-07-24,14058.87
2023-07-25,14144.56
2023-07-26,14127.28
2023-07-27,14050.11
2023-07-28,14316.66
2023-07-31,14346.02
2023-08-01,14283.91
2023-08-02,13973.45
2023-08-03,13959.72
2023-08-04,13909.24
2023-08-07,13994.4
2023-08-08,13884.32
2023-08-09,13722.02
2023-08-10,13737.99
2023-08-11,13644.85
2023-08-14,13788.33
2023-08-15,13631.05
2023-08-16,13474.63
2023-08-17,13316.93
2023-08-18,13290.78
2023-08-21,13497.59
2023-08-22,13505.87
2023-08-23,13721.03
2023-08-24,13463.97
2023-08-25,13590.65
2023-08-28,13705.13
2023-08-29,13943.76
2023-08-30,14019.31
2023-08-31,14034.97
2023-09-01,14031.81
2023-09-05,14020.95
2023-09-06,13872.47
2023-09-07,13748.83
2023-09-08,13761.53
2023-09-11,13917.89
2023-09-12,13773.61
2023-09-13,13813.59
2023-09-14,13926.05
2023-09-15,13708.33
2023-09-18,13710.24
2023-09-19,13678.19
2023-09-20,13469.13
2023-09-21,13223.98
2023-09-22,13211.81
2023-09-25,13271.32
2023-09-26,13063.61
2023-09-27,13092.85
2023-09-28,13201.28
2023-09-29,13219.32
2023-10-02,13307.77
2023-10-03,13059.47
2023-10-04,13236.01
2023-10-05,13219.83
2023-10-06,13431.34
2023-10-09,13484.24
2023-10-10,13562.84
2023-10-11,13659.68
2023-10-12,13574.22
2023-10-13,13407.23
2023-10-16,13567.98
2023-10-17,13533.75
2023-10-18,13314.3
2023-10-19,13186.18
2023-10-20,12983.81
2023-10-23,13018.33
2023-10-24,13139.87
2023-10-25,12821.22
2023-10-26,12595.61
2023-10-27,12643.01
2023-10-30,12789.48
2023-10-31,12851.24
2023-11-01,13061.47
2023-11-02,13294.19
2023-11-03,13478.28
2023-11-06,13518.78
2023-11-07,13639.86
2023-11-08,13650.41
2023-11-09,13521.45
2023-11-10,13798.11
2023-11-13,13767.74
2023-11-14,14094.38
2023-11-15,14103.84
2023-11-16,14113.67
2023-11-17,14125.48
2023-11-20,14284.53
2023-11-21,14199.98
2023-11-22,14265.86
2023-11-24,14250.85
2023-11-27,14241.02
2023-11-28,14281.76
2023-11-29,14258.49
2023-11-30,14226.22
2023-12-01,14305.03
2023-12-04,14185.49
2023-12-05,14229.91
2023-12-06,14146.71
2023-12-07,14339.99
2023-12-08,14403.97
2023-12-11,14432.49
2023-12-12,14533.4
2023-12-13,14733.96
2023-12-14,14761.56
2023-12-15,14813.92
2023-12-18,14905.19
2023-12-19,15003.22
2023-12-20,14777.94
2023-12-21,14963.87
2023-12-22,14992.97
2023-12-26,15074.57
2023-12-27,15099.18
2023-12-28,15095.14
2023-12-29,15011.35
2024-01-02,14765.94
2024-01-03,14592.21
2024-01-04,14510.3
2024-01-05,14524.07
2024-01-08,14843.77
2024-01-09,14857.71
2024-01-10,14969.65
2024-01-11,14970.18
2024-01-12,14972.76
2024-01-16,14944.35
2024-01-17,14855.62
2024-01-18,15055.65
2024-01-19,15310.97
2024-01-22,15360.29
2024-01-23,15425.94
2024-01-24,15481.92
2024-01-25,15510.5
2024-01-26,15455.36
2024-01-29,15628.04
2024-01-30,15509.9
2024-01-31,15164.01
2024-02-01,15361.64
2024-02-02,15628.95
2024-02-05,15597.68
2024-02-06,15609.0
2024-02-07,15756.64
2024-02-08,15793.71
2024-02-09,15990.66
2024-02-12,15942.55
2024-02-13,15655.6
2024-02-14,15859.15
2024-02-15,15906.17
2024-02-16,15775.65
2024-02-20,15630.78
2024-02-21,15580.87
2024-02-22,16041.62
2024-02-23,15996.82
2024-02-26,15976.25
2024-02-27,16035.3
2024-02-28,15947.74
2024-02-29,16091.92
2024-03-01,16274.94
2024-03-04,16207.51
2024-03-05,15939.59
2024-03-06,16031.54
2024-03-07,16273.38
2024-03-08,16085.11
2024-03-11,16019.27
2024-03-12,16265.64
2024-03-13,16177.77
2024-03-14,16128.53
2024-03-15,15973.17
2024-03-18,16103.45
2024-03-19,16166.79
2024-03-20,16369.41
2024-03-21,16401.84
2024-03-22,16428.82
2024-03-25,16384.47
2024-03-26,16315.7
2024-03-27,16399.52
2024-03-28,16379.46
2024-04-01,16396.83
2024-04-02,16240.45
2024-04-03,16277.46
2024-04-04,16049.08
2024-04-05,16248.52
2024-04-08,16253.96
2024-04-09,16306.64
2024-04-10,16170.36
2024-04-11,16442.2
2024-04-12,16175.09
2024-04-15,15885.02
2024-04-16,15865.25
2024-04-17,15683.37
2024-04-18,15601.5
2024-04-19,15282.01
2024-04-22,15451.31
2024-04-23,15696.64
2024-04-24,15712.75
2024-04-25,15611.76
2024-04-26,15927.9
2024-04-29,15983.08
2024-04-30,15657.82
2024-05-01,15605.48
2024-05-02,15840.96
2024-05-03,16156.33
2024-05-06,16349.25
2024-05-07,16332.56
2024-05-08,16302.76
2024-05-09,16346.26
2024-05-10,16340.87
2024-05-13,16388.24
2024-05-14,16511.18
2024-05-15,16742.39
2024-05-16,16698.32
2024-05-17,16685.97
2024-05-20,16794.87
2024-05-21,16832.62
2024-05-22,16801.54
2024-05-23,16736.03
2024-05-24,16920.79
2024-05-28,17019.88
2024-05-29,16920.58
2024-05-30,16737.08
2024-05-31,16735.02
2024-06-03,16828.67
2024-06-04,16857.05
2024-06-05,17187.9
2024-06-06,17173.12
2024-06-07,17133.13
2024-06-10,17192.53
2024-06-11,17343.55
2024-06-12,17608.44
2024-06-13,17667.56
2024-06-14,17688.88
2024-06-17,17857.02
2024-06-18,17862.23
2024-06-20,17721.59
2024-06-21,17689.36
2024-06-24,17496.82
2024-06-25,17717.65
2024-06-26,17805.16
2024-06-27,17858.68
2024-06-28,17732.6
2024-07-01,17879.3
2024-07-02,18028.76
2024-07-03,18188.3
2024-07-05,18352.76
2024-07-08,18403.74
2024-07-09,18429.29
2024-07-10,18647.45
2024-07-11,18283.41
2024-07-12,18398.45
2024-07-15,18472.57
2024-07-16,18509.34
2024-07-17,17996.92
2024-07-18,17871.22
2024-07-19,17726.94
2024-07-22,18007.57
2024-07-23,17997.35
2024-07-24,17342.41
2024-07-25,17181.72
2024-07-26,17357.88
2024-07-29,17370.2
2024-07-30,17147.42
2024-07-31,17599.4
2024-08-01,17194.15
2024-08-02,16776.16
2024-08-05,16200.08
2024-08-06,16366.85
2024-08-07,16195.81
2024-08-08,16660.02
2024-08-09,16745.3
2024-08-12,16780.61
2024-08-13,17187.61
2024-08-14,17192.6
2024-08-15,17594.5
2024-08-16,17631.72
2024-08-19,17876.77
2024-08-20,17816.94
2024-08-21,17918.99
2024-08-22,17619.35
2024-08-23,17877.79
2024-08-26,17725.76
2024-08-27,17754.82
2024-08-28,17556.03
2024-08-29,17516.43
2024-08-30,17713.62
2024-09-03,17136.3
2024-09-04,17084.3
2024-09-05,17127.66
2024-09-06,16690.83
2024-09-09,16884.6
2024-09-10,17025.88
2024-09-11,17395.53
2024-09-12,17569.68
2024-09-13,17683.98
2024-09-16,17592.13
2024-09-17,17628.06
2024-09-18,17573.3
2024-09-19,18013.98
2024-09-20,17948.32
2024-09-23,17974.27
2024-09-24,18074.52
2024-09-25,18082.21
2024-09-26,18190.29
2024-09-27,18119.59
2024-09-30,18189.17
2024-10-01,17910.36
2024-10-02,17925.12
2024-10-03,17918.48
2024-10-04,18137.85
2024-10-07,17923.9
2024-10-08,18182.92
2024-10-09,18291.62
2024-10-10,18282.05
2024-10-11,18342.94
2024-10-14,18502.69
2024-10-15,18315.59
2024-10-16,18367.08
2024-10-17,18373.61
2024-10-18,18489.55
2024-10-21,18540.0
2024-10-22,18573.13
2024-10-23,18276.65
2024-10-24,18415.49
2024-10-25,18518.61
2024-10-28,18567.19
2024-10-29,18712.75
2024-10-30,18607.93
2024-10-31,18095.15
2024-11-01,18239.92
2024-11-04,18179.98
2024-11-05,18439.17
2024-11-06,18983.47
2024-11-07,19269.46
2024-11-08,19286.78
2024-11-11,19298.76
2024-11-12,19281.4
2024-11-13,19230.73
2024-11-14,19107.65
2024-11-15,18680.12
2024-11-18,18791.81
2024-11-19,18987.47
2024-11-20,18966.14
2024-11-21,18972.42
2024-11-22,19003.65
2024-11-25,19054.83
2024-11-26,19175.58
2024-11-27,19060.48
2024-11-29,19218.17
2024-12-02,19403.95
2024-12-03,19480.91
2024-12-04,19735.12
2024-12-05,19700.72
2024-12-06,19859.77
2024-12-09,19736.69
2024-12-10,19687.24
2024-12-11,20034.89
2024-12-12,19902.84
2024-12-13,19926.72
2024-12-16,20173.89
2024-12-17,20109.06
2024-12-18,19392.69
2024-12-19,19372.77
2024-12-20,19572.6
2024-12-23,19764.89
